Screen Size 12.3

Width	Height		dpi	Scaling
2736	1824		267	200
				
2704	1800		264	197.4
2592	1728		253	189.5
2430	1620		237	177.6
2400	1600		235	175.4
2394	1596		234	175
2304	1536		225	168.4
2160	1440		211	157.9
2056	1368		201	150
2048	1366		200	149.8
2040	1360		199	149.1
1944	1296		190	142.1
1920	1280		188	140.4
1848	1234		181	135.3
1800	1200		176	131.6
1784	1188		174	130.3
1728	1152		169	126.3
1710	1140		167	125
1624	1080		159	118.4
1616	1080		158	118.4
1600	1066		156	116.9
1536	1024		150	112.3
1440	960		141	105.3
1368	912		134	100.0
1296	864		127	94.7
1200	800		117	87.7
1152	768		113	84.2
1080	720		106	78.9
